日期,最高温度,最低温度,天气状况,风向风力,区域
2019-02-17,8,6,多云~小雨,东北风2级,长宁
2019-02-18,8,7,小雨~中雨,东南风2级,长宁
2019-02-19,10,6,阴~小雨,西北风2级,长宁
2019-02-20,8,7,小雨,东北风2级,长宁
2019-02-21,9,5,小雨~中雨,东北风3级,长宁
2019-02-22,7,3,小雨~多云,东北风2级,长宁
2019-02-23,11,4,多云,西北风2级,长宁
2019-02-24,11,4,多云,东北风2级,长宁
2019-02-25,12,7,多云,东北风2级,长宁
2019-02-26,12,7,多云~小雨,东北风3级,长宁
2019-02-27,10,7,小雨,东北风3级,长宁
2019-02-28,11,6,多云,东北风2级,长宁
2019-03-01,11,8,小雨~中雨,东北风2级,长宁
2019-03-02,10,7,小雨,东北风3级,长宁
2019-03-03,10,5,阴~多云,西北风2级,长宁
2019-03-04,11,4,多云~阴,西北风2级,长宁
2019-03-05,11,8,小雨,东南风3级,长宁
2019-03-06,14,6,多云,北风3级,长宁
2019-03-07,11,5,多云~阴,东北风3级,长宁
2019-03-08,12,8,多云~小雨,东南风2级,长宁
2019-03-09,13,9,小雨,东北风1级,长宁
2019-03-10,13,7,阴~多云,西北风3级,长宁
2019-03-11,18,8,多云,西北风3级,长宁
2019-03-12,19,7,小雨~多云,西北风3级,长宁
2019-03-13,16,9,多云~小雨,东南风2级,长宁
2019-03-14,12,7,小雨~晴,东南风2级,长宁
2019-03-15,19,7,晴~多云,西北风3级,长宁
2019-03-16,18,9,多云,东南风2级,长宁
2019-03-17,21,11,多云~阴,东北风2级,长宁
2019-03-18,14,9,小雨~多云,东南风2级,长宁
2019-03-19,19,13,多云~小雨,东南风3级,长宁
2019-03-20,25,11,雷阵雨~小雨,西南风4级,长宁
2019-03-21,19,8,中雨~小雨,东北风3级,长宁
2019-03-22,11,7,阴~多云,东北风3级,长宁
2019-03-23,16,7,多云,东北风2级,长宁
2019-03-24,15,10,多云~小雨,东南风2级,长宁
2019-03-25,15,10,小雨~晴,西南风1级,长宁
2019-03-26,22,13,多云,西南风2级,长宁
2019-03-27,19,11,小雨,东南风2级,长宁
2019-03-28,17,12,小雨,东北风2级,长宁
2019-03-29,19,12,阴~多云,东南风2级,长宁
2019-03-30,20,9,多云~阴,西北风3级,长宁
2019-03-31,15,8,多云~晴,东北风2级,长宁
2019-04-01,17,9,晴~多云,东南风2级,长宁
2019-04-02,17,12,多云~阴,东南风3级,长宁
2019-04-03,18,11,多云,东南风2级,长宁
2019-04-04,17,13,小雨,东南风2级,长宁
2019-04-05,23,14,多云~晴,西南风2级,长宁
2019-04-06,26,15,多云,西南风2级,长宁
2019-04-07,29,16,晴,西南风2级,长宁
2019-04-08,26,17,多云~小雨,东南风3级,长宁
2019-04-09,25,11,中雨~小雨,西南风4级,长宁
2019-04-10,16,11,阴~小雨,西北风3级,长宁
2019-04-11,15,9,小雨~晴,东北风2级,长宁
2019-04-12,19,12,晴,东南风2级,长宁
2019-04-13,20,14,多云,东南风3级,长宁
2019-04-14,20,10,多云,东北风3级,长宁
2019-04-15,20,13,多云,东南风2级,长宁
2019-04-16,19,13,小雨~晴,东南风3级,长宁
2019-04-17,27,16,晴,东南风2级,长宁
2019-04-18,28,19,多云,东南风3级,长宁
2019-04-19,26,18,多云~阴,东南风3级,长宁
2019-04-20,24,18,多云~小雨,东南风3级,长宁
2019-04-21,24,19,小雨,东南风3级,长宁
2019-04-22,22,19,小雨,东南风2级,长宁
2019-04-23,28,19,小雨,西北风2级,长宁
2019-04-24,25,17,小雨~阴,东北风2级,长宁
2019-04-25,25,14,小雨~多云,东北风2级,长宁
2019-04-26,18,12,多云~晴,东北风3级,长宁
2019-04-27,18,15,多云~小雨,东南风3级,长宁
2019-04-28,21,17,小雨~多云,东南风2级,长宁
2019-04-29,20,15,中雨~小雨,西北风2级,长宁
2019-04-30,18,14,小雨~多云,东北风2级,长宁
2019-05-01,23,13,阴~多云,西北风3级,长宁
2019-05-02,24,13,多云~晴,东北风2级,长宁
2019-05-03,27,15,晴~阴,东南风2级,长宁
2019-05-04,27,17,多云,东南风2级,长宁
2019-05-05,27,16,多云~阴,东南风3级,长宁
2019-05-06,20,12,多云,东北风3级,长宁
2019-05-07,20,15,多云~阴,东北风3级,长宁
2019-05-08,21,16,多云,东南风2级,长宁
2019-05-09,25,17,多云,东南风2级,长宁
2019-05-10,27,17,晴,东南风2级,长宁
2019-05-11,29,19,多云,东南风2级,长宁
2019-05-12,28,19,多云~小雨,东南风3级,长宁
2019-05-13,23,17,小雨,东南风3级,长宁
2019-05-14,23,19,多云~小雨,东南风2级,长宁
2019-05-15,21,19,小雨,东南风3级,长宁
2019-05-16,23,19,阴,东南风2级,长宁
2019-05-17,25,21,小雨~阴,东南风2级,长宁
2019-05-18,28,19,多云~阴,西北风2级,长宁
2019-05-19,26,18,小雨~多云,东北风2级,长宁
2019-05-20,24,16,多云~晴,东北风3级,长宁
2019-05-21,29,19,多云,西南风2级,长宁
2019-05-22,31,20,晴,南风2级,长宁
2019-05-23,33,21,晴,西南风2级,长宁
2019-05-24,34,21,晴~阴,东南风3级,长宁
2019-05-25,30,22,小雨~中雨,东南风4级,长宁
2019-05-26,24,20,中雨~大雨,东南风4级,长宁
2019-05-27,29,18,小雨~多云,西北风3级,长宁
2019-05-28,25,18,多云,东北风3级,长宁
2019-05-29,26,18,多云,东南风2级,长宁
2019-05-30,26,20,小雨,东南风3级,长宁
2019-05-31,27,18,小雨~多云,东北风2级,长宁
2019-06-01,26,20,阴~多云,东南风2级,长宁
2019-06-02,29,20,多云,东南风2级,长宁
2019-06-03,30,21,多云~晴,东南风3级,长宁
2019-06-04,32,22,晴,东南风2级,长宁
2019-06-05,33,25,多云~小雨,东南风3级,长宁
2019-06-06,31,22,小雨~多云,西南风4级,长宁
2019-06-07,29,20,多云,西北风3级,长宁
2019-06-08,29,21,多云,东南风2级,长宁
2019-06-09,29,21,多云,东南风2级,长宁
2019-06-10,31,20,小雨~多云,东南风2级,长宁
2019-06-11,28,20,多云,东北风2级,长宁
2019-06-12,27,21,阴,东南风2级,长宁
2019-06-13,24,20,小雨,东南风3级,长宁
2019-06-14,26,19,阴~多云,东北风3级,长宁
2019-06-15,32,23,多云,东北风2级,长宁
2019-06-16,32,24,多云,东南风2级,长宁
2019-06-17,29,22,阴~中雨,东南风3级,长宁
2019-06-18,25,21,中雨~小雨,西南风3级,长宁
2019-06-19,27,22,阴~多云,东北风2级,长宁
2019-06-20,25,21,小雨~大雨,东南风2级,长宁
2019-06-21,25,20,小雨~多云,东北风2级,长宁
2019-06-22,28,20,多云,东北风2级,长宁
2019-06-23,27,21,多云,东北风2级,长宁
2019-06-24,27,22,多云~阴,东南风3级,长宁
2019-06-25,26,22,中雨,东南风3级,长宁
2019-06-26,27,21,小雨~多云,东南风2级,长宁
2019-06-27,28,23,小雨~多云,东南风2级,长宁
2019-06-28,33,26,阴~多云,东南风2级,长宁
2019-06-29,32,25,中雨~大雨,西南风3级,长宁
2019-06-30,29,24,中雨~阴,东北风2级,长宁
2019-07-01,28,23,小雨,东北风2级,长宁
2019-07-02,27,22,小雨~中雨,东南风2级,长宁
2019-07-03,27,23,小雨~多云,东北风2级,长宁
2019-07-04,29,23,阴~小雨,东南风2级,长宁
2019-07-05,28,22,小雨~多云,东南风2级,长宁
2019-07-06,30,23,小雨,东南风3级,长宁
2019-07-07,33,24,阴~多云,西南风3级,长宁
2019-07-08,30,24,多云~小雨,西北风2级,长宁
2019-07-09,25,22,中雨~小雨,东北风3级,长宁
2019-07-10,27,22,小雨~阴,东北风2级,长宁
2019-07-11,29,24,阴~多云,东南风2级,长宁
2019-07-12,28,22,小雨~大雨,东南风2级,长宁
2019-07-13,23,21,中雨~小雨,东北风2级,长宁
2019-07-14,29,23,多云,东南风2级,长宁
2019-07-15,29,23,多云,东南风2级,长宁
2019-07-16,28,24,小雨,东南风3级,长宁
2019-07-17,30,26,小雨,东南风3级,长宁
2019-07-18,33,26,小雨,东南风3级,长宁
2019-07-19,30,26,小雨,东北风3级,长宁
2019-07-20,33,26,小雨~多云,西北风2级,长宁
2019-07-21,34,28,多云,东南风2级,长宁
2019-07-22,35,28,多云,东南风2级,长宁
2019-07-23,35,29,阴~多云,西南风2级,长宁
2019-07-24,37,29,多云~晴,西南风2级,长宁
2019-07-25,36,29,小雨~多云,西南风2级,长宁
2019-07-26,36,29,多云,西南风2级,长宁
2019-07-27,35,28,小雨~多云,东南风2级,长宁
2019-07-28,36,29,多云~晴,东南风3级,长宁
2019-07-29,36,29,多云,东南风3级,长宁
2019-07-30,37,29,多云~晴,东南风3级,长宁
2019-07-31,36,28,多云~晴,东南风3级,长宁
2019-08-01,35,28,多云,东南风3级,长宁
2019-08-02,34,27,多云,东南风3级,长宁
2019-08-03,32,27,小雨~中雨,东南风3级,长宁
2019-08-04,32,27,中雨~小雨,东南风3级,长宁
2019-08-05,33,27,多云,东南风3级,长宁
2019-08-06,34,27,多云,东南风3级,长宁
2019-08-07,34,27,多云~阴,东南风3级,长宁
2019-08-08,33,27,小雨,东南风3级,长宁
2019-08-09,32,27,中雨~大雨,东北风5级,长宁
2019-08-10,28,25,暴雨,东南风5级,长宁
2019-08-11,31,26,小雨~多云,西南风4级,长宁
2019-08-12,34,27,阴~多云,西南风3级,长宁
2019-08-13,35,27,多云~晴,东北风2级,长宁
2019-08-14,34,27,多云,西北风2级,长宁
2019-08-15,33,27,小雨~多云,西北风3级,长宁
2019-08-16,34,27,多云~晴,西南风2级,长宁
2019-08-17,35,27,多云,东南风2级,长宁
2019-08-18,31,25,小雨,东北风2级,长宁
2019-08-19,31,26,小雨~多云,东北风3级,长宁
2019-08-20,32,25,多云,东北风2级,长宁
2019-08-21,33,25,多云,东北风2级,长宁
2019-08-22,33,26,小雨,东北风2级,长宁
2019-08-23,32,26,小雨~中雨,东北风2级,长宁
2019-08-24,32,26,小雨,东北风3级,长宁
2019-08-25,32,27,小雨,东南风3级,长宁
2019-08-26,35,28,多云~阴,西南风3级,长宁
2019-08-27,36,28,小雨,西南风2级,长宁
2019-08-28,31,24,中雨~暴雨,东北风2级,长宁
2019-08-29,26,22,中雨~多云,东北风2级,长宁
2019-08-30,30,22,阴~多云,东北风2级,长宁
2019-08-31,30,22,小雨,东南风2级,长宁
2019-09-01,24,21,中雨,东北风3级,长宁
2019-09-02,25,22,中雨,东北风3级,长宁
2019-09-03,26,23,小雨,东北风2级,长宁
2019-09-04,28,23,中雨~小雨,东北风2级,长宁
2019-09-05,29,24,小雨,东北风2级,长宁
2019-09-06,29,25,小雨,东北风3级,长宁
2019-09-07,30,24,多云,西北风3级,长宁
2019-09-08,31,23,阴~小雨,东北风2级,长宁
2019-09-09,28,24,小雨,西北风2级,长宁
2019-09-10,32,25,多云,东南风2级,长宁
2019-09-11,32,25,阴~多云,东北风2级,长宁
2019-09-12,31,24,阴~多云,东北风2级,长宁
2019-09-13,31,25,多云,东北风2级,长宁
2019-09-14,32,25,多云~晴,东北风2级,长宁
2019-09-15,30,24,小雨~多云,东北风2级,长宁
2019-09-16,29,24,多云,东北风3级,长宁
2019-09-17,29,24,多云,东北风3级,长宁
2019-09-18,29,23,多云,东北风4级,长宁
2019-09-19,27,21,多云,东北风3级,长宁
2019-09-20,27,22,多云,东北风3级,长宁
2019-09-21,26,21,小雨,东北风4级,长宁
2019-09-22,24,20,小雨~多云,西北风4级,长宁
2019-09-23,26,18,多云,西北风3级,长宁
2019-09-24,28,18,多云,西北风2级,长宁
2019-09-25,27,19,多云~阴,东北风2级,长宁
2019-09-26,27,20,多云,东北风2级,长宁
2019-09-27,28,21,多云,东北风2级,长宁
2019-09-28,28,21,多云,东北风2级,长宁
2019-09-29,28,22,多云,东北风2级,长宁
2019-09-30,28,22,多云~小雨,东北风2级,长宁
2019-10-01,26,23,暴雨~中雨,东北风4级,长宁
2019-10-02,27,22,小雨~多云,西北风4级,长宁
2019-10-03,30,23,小雨~多云,东南风1级,长宁
2019-10-04,29,21,多云,东北风2级,长宁
2019-10-05,25,19,小雨~阴,东北风3级,长宁
2019-10-06,24,18,多云,东北风2级,长宁
2019-10-07,25,19,阴~多云,西北风2级,长宁
2019-10-08,21,18,多云,西北风3级,长宁
2019-10-09,24,19,多云,东北风2级,长宁
2019-10-10,27,20,多云,东南风2级,长宁
2019-10-11,26,21,小雨~多云,东北风2级,长宁
2019-10-12,25,19,多云,东北风3级,长宁
2019-10-13,24,19,多云,东北风2级,长宁
2019-10-14,25,17,小雨~多云,东北风3级,长宁
2019-10-15,20,17,阴~多云,东北风3级,长宁
2019-10-16,22,15,阴~小雨,东北风3级,长宁
2019-10-17,21,18,小雨~多云,东北风2级,长宁
2019-10-18,23,16,多云~晴,东北风3级,长宁
2019-10-19,23,16,多云,东北风2级,长宁
2019-10-20,24,16,多云,东北风2级,长宁
2019-10-21,23,17,晴~多云,东北风2级,长宁
2019-10-22,23,18,阴,东北风2级,长宁
2019-10-23,23,18,阴~多云,东北风3级,长宁
2019-10-24,24,17,晴~多云,东北风2级,长宁
2019-10-25,23,17,多云~阴,东北风2级,长宁
2019-10-26,20,14,多云,东北风3级,长宁
2019-10-27,19,15,多云~阴,东北风2级,长宁
2019-10-28,20,14,多云,西南风2级,长宁
2019-10-29,22,13,晴,西北风2级,长宁
2019-10-30,22,14,晴,东南风1级,长宁
2019-10-31,23,14,晴~多云,东南风2级,长宁
2019-11-01,23,16,多云,东南风2级,长宁
2019-11-02,23,16,多云,东北风2级,长宁
2019-11-03,22,16,多云,东北风2级,长宁
2019-11-04,21,15,多云~晴,东北风3级,长宁
2019-11-05,21,15,多云~晴,东北风3级,长宁
2019-11-06,20,16,多云~小雨,东北风2级,长宁
2019-11-07,19,14,小雨,东北风3级,长宁
2019-11-08,18,12,多云~晴,东北风3级,长宁
2019-11-09,19,13,晴,东北风2级,长宁
2019-11-10,21,14,多云~晴,西南风3级,长宁
2019-11-11,22,13,晴~多云,东北风2级,长宁
2019-11-12,21,15,多云~阴,东南风2级,长宁
2019-11-13,20,12,小雨~多云,西北风3级,长宁
2019-11-14,16,11,晴,东北风3级,长宁
2019-11-15,20,15,晴~多云,东南风3级,长宁
2019-11-16,23,19,晴~多云,东南风2级,长宁
2019-11-17,24,13,多云~小雨,西南风3级,长宁
2019-11-18,13,7,阴~多云,西北风4级,长宁
2019-11-19,14,7,晴,东北风3级,长宁
2019-11-20,16,8,多云,东北风2级,长宁
2019-11-21,18,14,多云,东南风2级,长宁
2019-11-22,21,17,多云~小雨,东北风2级,长宁
2019-11-23,21,16,小雨~多云,东南风2级,长宁
2019-11-24,21,11,小雨,西北风3级,长宁
2019-11-25,12,8,小雨~多云,东北风4级,长宁
2019-11-26,12,9,阴~小雨,东北风2级,长宁
2019-11-27,11,9,小雨,东北风3级,长宁
2019-11-28,11,8,多云~阴,东北风3级,长宁
2019-11-29,13,9,阴,东北风2级,长宁
2019-11-30,14,10,小雨,东北风2级,长宁
2019-12-01,12,5,阴,西北风3级,长宁
2019-12-02,10,4,晴,西北风3级,长宁
2019-12-03,10,3,晴,西北风2级,长宁
2019-12-04,12,6,晴~阴,西北风2级,长宁
2019-12-05,13,7,多云~小雨,东北风2级,长宁
2019-12-06,10,5,阴~多云,东北风3级,长宁
2019-12-07,11,4,多云,西北风2级,长宁
2019-12-08,12,5,晴,东南风1级,长宁
2019-12-09,15,8,晴,西南风2级,长宁
2019-12-10,17,8,晴,西南风2级,长宁
2019-12-11,15,6,晴~多云,西北风3级,长宁
2019-12-12,12,7,多云,东北风2级,长宁
2019-12-13,15,8,晴~阴,东南风2级,长宁
2019-12-14,15,9,多云,东北风3级,长宁
2019-12-15,16,12,多云,东南风3级,长宁
2019-12-16,20,11,多云~小雨,东南风2级,长宁
2019-12-17,15,9,小雨,西北风3级,长宁
2019-12-18,10,6,小雨,东北风3级,长宁
2019-12-19,8,6,小雨~多云,北风2级,长宁
2019-12-20,10,7,小雨,东北风2级,长宁
2019-12-21,11,10,小雨~中雨,东北风3级,长宁
2019-12-22,12,9,小雨~阴,东北风2级,长宁
2019-12-23,13,9,小雨,东北风2级,长宁
2019-12-24,11,10,小雨,东北风3级,长宁
2019-12-25,13,9,小雨~中雨,东北风2级,长宁
2019-12-26,10,4,小雨~多云,西北风4级,长宁
2019-12-27,8,4,晴,西北风2级,长宁
2019-12-28,12,10,多云~小雨,东南风2级,长宁
2019-12-29,15,9,小雨~阴,西南风2级,长宁
2019-12-30,13,3,多云~阴,东北风3级,长宁
2019-12-31,5,2,阴~晴,西北风3级,长宁
2020-01-01,9,7,晴~小雨,东南风2级,长宁
2020-01-02,12,9,阴,东南风2级,长宁
2020-01-03,11,9,小雨,东北风1级,长宁
2020-01-04,10,9,小雨~阴,东北风2级,长宁
2020-01-05,13,12,阴~多云,东南风3级,长宁
2020-01-06,21,13,多云,东南风2级,长宁
2020-01-07,18,4,小雨~阴,西南风3级,长宁
2020-01-08,7,4,阴~小雨,西北风3级,长宁
2020-01-09,7,6,小雨,东北风2级,长宁
2020-01-10,9,7,小雨,东北风3级,长宁
2020-01-11,7,4,小雨,东北风3级,长宁
2020-01-12,7,4,小雨~多云,西北风2级,长宁
2020-01-13,9,5,阴,东北风1级,长宁
2020-01-14,7,3,阴~多云,西北风2级,长宁
2020-01-15,8,6,小雨,东北风2级,长宁
2020-01-16,7,5,中雨~小雨,东北风3级,长宁
2020-01-17,6,3,阴~多云,西北风3级,长宁
2020-01-18,5,4,阴,西北风2级,长宁
2020-01-19,8,3,阴~多云,西北风2级,长宁
2020-01-20,10,4,多云~阴,西北风2级,长宁
2020-01-21,12,9,晴~小雨,东南风3级,长宁
2020-01-22,10,8,中雨~小雨,西南风2级,长宁
2020-01-23,10,8,小雨,东北风2级,长宁
2020-01-24,10,7,阴~小雨,东北风3级,长宁
2020-01-25,8,7,中雨~小雨,东北风3级,长宁
2020-01-26,9,6,中雨,东北风4级,长宁
2020-01-27,6,4,小雨~阴,西北风3级,长宁
2020-01-28,7,3,阴~晴,西北风3级,长宁
2020-01-29,9,3,多云~晴,西北风3级,长宁
2020-01-30,7,1,晴,西北风3级,长宁
2020-01-31,9,2,晴,西北风2级,长宁
2020-02-01,11,4,晴~多云,东南风1级,长宁
2020-02-02,12,7,多云~阴,东南风2级,长宁
2020-02-03,11,6,阴,东北风2级,长宁
2020-02-04,12,4,多云~晴,东北风2级,长宁
2020-02-05,11,5,多云~阴,东北风3级,长宁
2020-02-06,7,4,小雨~中雨,东北风3级,长宁
2020-02-07,8,5,小雨~阴,东北风3级,长宁
2020-02-08,9,4,阴~多云,东北风2级,长宁
2020-02-09,10,5,多云,西北风2级,长宁
2020-02-10,16,10,阴~小雨,东南风2级,长宁
2020-02-11,11,9,中雨~小雨,东南风3级,长宁
2020-02-12,16,9,小雨~多云,西北风1级,长宁
2020-02-13,15,11,阴~小雨,东南风2级,长宁
2020-02-14,17,12,小雨,东南风2级,长宁
2020-02-15,14,0,小雨~雨夹雪,西北风3级,长宁
2020-02-16,5,0,雨夹雪~晴,西北风4级,长宁
2020-02-17,9,1,晴,西北风4级,长宁
2020-02-18,9,4,多云,西北风2级,长宁
2020-02-19,12,7,多云,东南风2级,长宁
2020-02-20,15,8,晴,东南风2级,长宁
2020-02-21,16,8,多云~晴,西南风3级,长宁
2020-02-22,16,7,晴,西北风2级,长宁
2020-02-23,14,11,晴,东南风3级,长宁
2020-02-24,20,14,阴~晴,东南风3级,长宁
2020-02-25,24,9,多云~阴,西北风2级,长宁
2020-02-26,11,8,阴~晴,东北风3级,长宁
2020-02-27,13,8,阴,东北风3级,长宁
2020-02-28,13,10,阴~小雨,西南风3级,长宁
2020-02-29,11,9,小雨,东北风2级,长宁
2020-03-01,10,8,阴,西北风2级,长宁
2020-03-02,10,7,阴,东北风3级,长宁
2020-03-03,12,8,阴,东北风2级,长宁
2020-03-04,12,5,阴~多云,东北风3级,长宁
2020-03-05,12,6,晴,东北风2级,长宁
2020-03-06,14,10,阴~小雨,东南风3级,长宁
2020-03-07,15,10,阴,西北风2级,长宁
2020-03-08,16,11,阴~中雨,东南风3级,长宁
2020-03-09,14,9,小雨,东南风3级,长宁
2020-03-10,13,6,阴~多云,西北风3级,长宁
2020-03-11,16,9,阴,东南风2级,长宁
2020-03-12,16,10,多云~小雨,东南风3级,长宁
2020-03-13,13,7,小雨~多云,东北风2级,长宁
2020-03-14,14,8,阴~晴,西北风2级,长宁
2020-03-15,20,9,晴~多云,西北风3级,长宁
2020-03-16,17,10,多云,东南风3级,长宁
2020-03-17,23,12,阴~多云,西南风2级,长宁
2020-03-18,24,13,晴,西南风2级,长宁
2020-03-19,20,10,多云~晴,西北风3级,长宁
2020-03-20,19,12,晴,东南风3级,长宁
2020-03-21,25,14,多云~中雨,东南风2级,长宁
2020-03-22,18,12,阴,东北风2级,长宁
2020-03-23,18,10,阴~多云,东北风2级,长宁
2020-03-24,20,13,阴,东南风3级,长宁
2020-03-25,22,17,阴~中雨,东南风3级,长宁
2020-03-26,23,11,小雨~中雨,东南风2级,长宁
2020-03-27,13,6,阴~中雨,东北风4级,长宁
2020-03-28,8,6,中雨~阴,东北风3级,长宁
2020-03-29,10,8,小雨,东北风2级,长宁
2020-03-30,12,10,小雨,东北风2级,长宁
2020-03-31,16,10,小雨,东北风2级,长宁
2020-04-01,17,10,阴~多云,东北风3级,长宁
2020-04-02,17,10,晴~阴,东北风2级,长宁
2020-04-03,17,10,阴,东北风2级,长宁
2020-04-04,20,9,多云~阴,东北风2级,长宁
2020-04-05,15,10,阴,东北风3级,长宁
2020-04-06,15,10,阴,东风2级,长宁
2020-04-07,21,11,多云~晴,东南风1级,长宁
2020-04-08,22,12,阴,东南风2级,长宁
2020-04-09,21,13,晴,东南风3级,长宁
2020-04-10,20,11,阴~小雨,东南风3级,长宁
2020-04-11,13,7,小雨~阴,东北风3级,长宁
2020-04-12,19,10,小雨,西北风4级,长宁
2020-04-13,19,10,晴~多云,西北风3级,长宁
2020-04-14,19,13,阴~小雨,东南风2级,长宁
2020-04-15,24,16,阴~多云,西南风2级,长宁
2020-04-16,26,16,阴~小雨,东南风3级,长宁
2020-04-17,21,14,阴~晴,西南风2级,长宁
2020-04-18,17,13,阴~中雨,东北风3级,长宁
2020-04-19,15,12,小雨~晴,西北风3级,长宁
2020-04-20,22,13,阴~小雨,西北风2级,长宁
2020-04-21,15,10,阴~小雨,东北风3级,长宁
2020-04-22,19,12,阴~多云,西南风2级,长宁
2020-04-23,19,12,多云,东北风2级,长宁
2020-04-24,23,14,晴,西南风2级,长宁
2020-04-25,26,15,阴,西南风3级,长宁
2020-04-26,23,13,阴~小雨,东北风3级,长宁
2020-04-27,20,12,阴~晴,东北风3级,长宁
2020-04-28,23,14,晴,东南风3级,长宁
2020-04-29,26,18,晴,东南风3级,长宁
2020-04-30,32,21,多云~阴,南风3级,长宁
2020-05-01,24,20,小雨,南风2级,长宁
2020-05-02,29,22,阴~晴,南风3级,长宁
2020-05-03,34,22,晴,西南风2级,长宁
2020-05-04,27,19,晴~阴,东北风2级,长宁
2020-05-05,20,19,中雨~阴,东风3级,长宁
2020-05-06,21,18,阴~晴,东北风2级,长宁
2020-05-07,25,20,晴~小雨,东南风3级,长宁
2020-05-08,25,21,阴~中雨,东南风4级,长宁
2020-05-09,23,19,阴~小雨,西北风2级,长宁
2020-05-10,22,18,阴~多云,东北风1级,长宁
2020-05-11,27,18,多云,西南风2级,长宁
2020-05-12,30,19,晴~多云,西北风3级,长宁
2020-05-13,29,19,晴~阴,东南风3级,长宁
2020-05-14,25,21,阴~小雨,东南风4级,长宁
2020-05-15,28,22,阴~中雨,西南风2级,长宁
2020-05-16,25,22,小雨~多云,东南风2级,长宁
2020-05-17,29,21,阴~多云,东南风2级,长宁
2020-05-18,30,17,阴~晴,西北风3级,长宁
2020-05-19,29,19,晴~多云,西北风2级,长宁
2020-05-20,30,21,多云,东南风3级,长宁
2020-05-21,26,19,阴,东南风3级,长宁
2020-05-22,26,19,阴,东南风3级,长宁
2020-05-23,27,21,阴~晴,东南风2级,长宁
2020-05-24,32,22,晴~阴,东风2级,长宁
2020-05-25,27,20,阴~小雨,东北风2级,长宁
2020-05-26,20,17,小雨~多云,东北风2级,长宁
2020-05-27,26,21,多云,南风1级,长宁
2020-05-28,31,21,阴,西南风2级,长宁
2020-05-29,25,17,阴~大雨,东南风3级,长宁
2020-05-30,19,18,大雨~阴,东南风4级,长宁
2020-05-31,28,22,阴,西北风2级,长宁
2020-06-01,30,22,阴,东南风2级,长宁
2020-06-02,33,23,小雨,南风2级,长宁
2020-06-03,28,22,小雨~阴,西南风2级,长宁
2020-06-04,30,22,阴~小雨,西南风2级,长宁
2020-06-05,23,21,暴雨~中雨,东南风3级,长宁
2020-06-06,28,21,阴,东北风3级,长宁
2020-06-07,29,22,阴~多云,东南风3级,长宁
2020-06-08,28,22,晴~阴,东南风3级,长宁
2020-06-09,28,24,阴,东南风3级,长宁
2020-06-10,27,24,小雨~阴,东南风1级,长宁
2020-06-11,29,25,多云~小雨,东南风2级,长宁
2020-06-12,34,27,多云~阴,南风2级,长宁
2020-06-13,33,27,阴~小雨,西南风2级,长宁
2020-06-14,31,24,阴~小雨,东北风2级,长宁
